Country,Latitude,Longitude,Total Refugees Admitted
Sierra Leone,8,-12,6
South Africa,-30,25,1
Uganda,1,32,46
Ivory Coast,7,-5,74
Burundi,-3,30,529
Somalia,2,45,"3,940"
Cameroon,6,12,110
Togo,8,1,2
Guinea - Bissau,12,-15,1
Mali,17,-4,183
Republic of South Sudan,7,30,"1,138"
Nigeria,10,8,107
Rwanda,-2,30,222
Sudan,15,30,"1,904"
Kenya,1,38,11
Ethiopia,9,39,380
The Gambia,13,-16,14
Senegal,14,-14,67
Liberia,6,-10,34
Chad,12,18,10
Angola,-12,18,2
Central African Republic,7,21,797
Burkina Faso (UVolta),12,-1,4
Dem. Rep. Congo,-4,22,"17,627"
Congo,-1,15,352
Guinea,10,-10,82
Tanzania,-6,35,6
Djibouti,11,43,3
Eritrea,15,39,"1,908"
Niger,12,2,8
Mauritania,20,-12,3
Indonesia,-5,120,4
China,35,105,7
Cambodia,12,105,56
Burma,21,96,"5,892"
Vietnam,16,106,113
Sweden,60,15,3
Russia,60,100,337
Moldova,47,28,362
Kyrgyzstan,41,75,60
Uzbekistan,41,64,46
Norway,60,10,1
Kazakhstan,48,68,109
Armenia,40,45,257
Ukraine,49,32,"1,347"
Turkmenistan,39,59,8
Germany,51,10,1
Georgia,42,43,34
Belarus,53,28,348
Cuba,21,79,200
Brazil,-10,-55,3
Jamaica,18,77,16
Venezuela,8,-66,"9,225"
Honduras,15,-86,828
El Salvador,13,-89,"1,178"
Guatemala,15,-90,"4,320"
Colombia,4,-72,"1,243"
Haiti,19,-72,230
Costa Rica,10,-84,1
Nicaragua,13,-85,"2,776"
Peru,-10,76,1
Canada,60,-95,1
Guyana,5,-59,4
Lebanon,34,36,6
Sri Lanka (Ceylon),7,81,12
Turkey,39,35,1
Yemen,15,48,129
Bangladesh,24,90,2
Libya,25,17,42
Palestine,32,35,17
Jordan,31,36,7
Syria,35,38,"9,689"
Algeria,28,3,13
Afghanistan,33,65,"12,634"
India,20,77,7
Tunisia,34,9,2
Iraq,33,44,"1,899"
Egypt,27,30,3
Nepal,28,84,5
Pakistan,30,70,780
Iran,32,53,441
,,,
,,,
,,,
,,,
,,,
,,,
